"Apartment Name","Address","Walk Time to Wharton","Studio/1B1B Price","Furnished","Amenities","Safety","Good Reviews","Bad Reviews"
"40/Spring Lofts","437 N 40th St","15 min","$1,250–1,750","Yes","Renovated, pet-friendly, bike storage, in-unit WD","Good","“Affordable, clean, close to transit”. “Away from eatery hotspots”",""
"The Point at Rittenhouse Row","1600 Walnut St","20+min","$1,800–2,700","Some","Center City, gym, luxury, close to shopping/dining","Very good","“Upscale, lively strip”","“Farther walk to class”"
"The Hub on Chestnut","3939 Chestnut St","8 min","$1,600–2,600","Yes","Modern, furnished, gym, rooftop terrace","Very good","“Newer, modern, social events often”. “Price premium for location”","Costly for undergrads"
"University City Housing","40+ buildings (various streets)","18 min","$1,000–1,700+","Some","Large portfolio, flexible lease options","OK","“Lots of choices for students, affordable”. “Building quality varies”","Quality varies by building"
"International House","3701 Chestnut St","8 min","$1,200–2,250","Some","Cultural events, older-style, convenient, community-oriented","Good","“Unique international vibe”. “Basic amenities”","Basic finishes, sometimes dated"
"The Standard at Philadelphia","119 S 31st St","7 min","$1,800–2,900","Yes","Student luxury, rooftop pool, lounge, premium amenities","Very good","“Amazing amenities, popular for MBAs”","“Expensive, fills up early”"
"Evo at Cira Centre South","2930 Chestnut St","11 min","$1,176+","Yes","Loft/gym/pool, student-focused","Safe","Student amenities. Noise, busy","Vibrant but noisy, good amenities"
"ANOVA uCity Square","3700 Lancaster Ave","12 min","$1,769+","Yes","Modern, washer/dryer, fitness","Good","Newer feel, some isolation",""
"Paloma University City","3600 Lancaster Ave","9 min","$999–1,159","Yes","Gym, in-unit WD, modern","Good","Value, quick maintenance",""
"Chestnut Hall Apartments","3900 Chestnut St","8 min","$1,350+","Limited","Gym, security, laundry shared","Ok","Location, older, basic",""
"The Chestnut Philadelphia","3720 Chestnut St","7 min","$2,300+","Yes","Luxury, study rms/gym","Very safe","Luxury, study rooms","High end, quiet, expensive"
"University City Associates","4104 Walnut St","14 min","$862+","Some","Pool, balcony, laundry in-unit","Good","Spacious, value",""
"Uno on Chestnut","4125 Chestnut St","17 min","$1,640+","Yes","Bills incl, in-unit WD","Safe","Bills included, washer/dryer","Good for groups, far from center"
"325 N 40th Street","325 N 40th St","15 min","$995","Yes","WD, modern, pet-friendly","OK","Updated, not luxury",""
"The Divine Lorraine","699 N Broad St","25+min","$1,600+","Some","Iconic, amenities","Good","Iconic bldg, amenities","Unique style, farther out"
"Waverly Walkway","1214 Waverly Walk","30 min","$1,725","-","Basic, good neighborhood","Good","Value for price","Far"
"Spring Lofts","1217 Spring Garden St","30 min","$1,280+","Some","Recently renovated, in-unit WD","Average","Modern, commute long",""
"Broadridge","1300 Fairmount Ave","30+min","$1,317+","Yes","New, gym/clubhouse, package serv.","Good","High rise, not close to Penn",""
"Touraine","1520 Spruce St","28 min","$2,085+","Yes","Classic, gym, doorman","Very safe","Historic, high rent",""
"The Ryland","1 Dock St","30 min","$1,980+","Yes","Waterfront, luxury, gym","Very safe","Views, luxury","Views, expensive"
"44XX Chestnut Properties","4402 Chestnut St","17 min","$1,125","Some","Laundry, pet-friendly","Average","Parking included",""
"Avenir","1515 Chestnut St","28 min","$1,403+","Yes","In-unit WD, gym, updated","Good","Modern units, small size",""
"5019 Walnut Street","5019 Walnut St","20 min","$1,195","-","Low cost, limited amenities","OK","Affordable","Cost saver, far west"
"Dickinson Lofts","1620 Christian St","35+min","$1,395","Some","In-unit WD, historic conversion","Good","Renovated","Nice interiors, far"
"Liberty View","1526-36 South St","28 min","$1,470+","Some","Doorman, amenities, gym","Very safe","Upscale, moderate rent",""
"Southstar Lofts","1500-1514 Locust St","26 min","$1,606+","Some","Pool, gym, pet-friendly","Safe","Great staff, long walk",""
"Trinity Row","2027-2043 Locust St","25 min","$1,737","Some","Garage, gated, in-unit WD","Very safe","Quiet, residential",""
"Dalian on the Park","500 N 18th St","30+min","$2,655+","Yes","Art Museum dist, gym, pool","Very safe","Scenic, distance",""
"Lincoln Square","1000 S Broad St","35 min","$1,427+","Yes","Rooftop, lounge, comm. location","OK","Modern, long commute","Far from UPenn"
"1600 Walnut Street","1600 Walnut St","28 min","$1,545+","Yes","Midtown Village area, gym","Safe","Nice walkable, price",""
"Walnut Square","402 S 36th St","26 min","$1,135+","Some","Quiet, basic, near 40th St","OK","Standard, could be newer",""
"Haverford Apartments","4100 Haverford Ave","35+min","$1,452","-","Historic, various layouts","Average","Affordable, location","Far west from campus"
"AKA University City","2929 Walnut St","10 min","$2,400–3,800","Yes","Rooftop lounge, indoor pool, luxury, fitness","Very good","Stunning views, best amenities","Premium price, hotel vibe"
"Avira","3025 JFK Blvd","14 min","$2,318–2,898","Some","Modern, pet-friendly, business center","Very good","Modern design, great location","On the pricier side"
"The Axis on 36th","20 S 36th St","6 min","$2,000–2,600","Yes","Gym, study rooms, social space","Good","Convenient to campus, lots of students","Elevator waits"
"The Summit at University City","3400 Lancaster Ave","10 min","$1,600–2,300","Yes","Rooftop, game room, fully furnished","Good","Friendly staff, many amenities","High demand, can fill up"
"Garden Court Plaza","4701 Pine St","18 min","$1,250–1,650","No","Art deco, large units, on-site laundry","Good","Spacious, quiet, affordable","Older building, further from core campus"
